# date and time: 2022-05-23T13:05:38.809
# host: surt2.cs.umt.edu with 20  processes: 
# 5420.143231 seconds
# funcs: Func[Func(&, 2, "AND"), Func(|, 2, "OR"), Func(xor, 2, "XOR"), Func(Main.CGP.Nand, 2, "NAND"), Func(Main.CGP.Nor, 2, "NOR")]
# use_lincircuit: false
# maxreps: 200
# iter_maxreps: 100
# numinputs: 4
# numoutputs: 1
# numinteriors: 11
# numlevelsback: 8
# max_steps: 600000
goal,numinputs,numoutputs,numints,numlevsback,maxsteps,ntries,nsuccesses,avg_steps,log_avg_steps,robustness,evo_count,nactive,complexity,degeneracy,sumsteps,sumtries
UInt16[0x001d],4,1,11,8,600000,100.0,100.0,2369.39,3.3732569319501184,0.42629213483146067,1589.0,7.225,5.102126927824249,2.221613175202401,0.0,0.0
UInt16[0x015b],4,1,11,8,600000,100.0,100.0,4611.764999999999,3.663339752579144,0.34837078651685394,2514.0,7.9,6.17156384816515,2.586005855214549,0.0,0.0
UInt16[0x0338],4,1,11,8,600000,100.0,100.0,9777.075,3.990118512114633,0.34502808988764044,2591.0,7.984999999999999,6.260184408930319,2.37249020026438,0.0,0.0
UInt16[0x0380],4,1,11,8,600000,100.0,100.0,9104.39,3.959248474868689,0.37511235955056177,2140.0,7.785,5.9130333901629815,1.9364052058827688,0.0,0.0
UInt16[0x0427],4,1,11,8,600000,100.0,100.0,4645.700000000001,3.6663794717158043,0.3258426966292135,2106.0,8.205,6.350701231439302,2.5411728874515678,0.0,0.0
UInt16[0x049c],4,1,11,8,600000,100.0,100.0,6996.5599999999995,3.8448825502899955,0.32536516853932584,2553.0,8.115,6.611844042664943,2.3807826604325157,0.0,0.0
UInt16[0x0523],4,1,11,8,600000,100.0,100.0,5128.8,3.7097893177102383,0.3392696629213483,2347.0,8.03,6.130365706563597,2.491676658148804,0.0,0.0
UInt16[0x0548],4,1,11,8,600000,100.0,100.0,5175.68,3.7136465196675035,0.327752808988764,2463.0,8.120000000000001,6.5079487855647296,2.205299741951948,0.0,0.0
UInt16[0x057c],4,1,11,8,600000,100.0,100.0,18049.11,4.256394558137803,0.2710955056179775,3201.0,8.585,6.983932685956477,2.746151966968421,0.0,0.0
UInt16[0x0585],4,1,11,8,600000,100.0,100.0,8797.400000000001,3.944260583416132,0.4076123595505618,1898.0,7.529999999999999,5.356237881827507,2.4353565392845455,0.0,0.0
UInt16[0x0684],4,1,11,8,600000,100.0,100.0,5766.87,3.758753397736112,0.35421348314606743,2210.0,7.785,6.440473036290246,2.13687746657532,0.0,0.0
UInt16[0x0752],4,1,11,8,600000,100.0,100.0,1872.23,3.2720798500486916,0.4192696629213483,1690.0,7.25,5.67790083205892,2.5023756416464913,0.0,0.0
UInt16[0x07a5],4,1,11,8,600000,100.0,100.0,5217.030000000001,3.7167147720285865,0.3816011235955056,2276.0,7.605,5.937684113032494,2.566241529887285,0.0,0.0
UInt16[0x07f5],4,1,11,8,600000,100.0,100.0,7856.465,3.8949968692708046,0.3603370786516854,2274.0,7.82,6.0793813042315765,2.730267733462424,0.0,0.0
UInt16[0x09b5],4,1,11,8,600000,100.0,100.0,22781.309999999998,4.357221059282972,0.2427808988764045,3834.0,8.83,7.491050374149862,2.615378877325587,0.0,0.0
UInt16[0x09e2],4,1,11,8,600000,100.0,100.0,17691.050000000003,4.247121485168503,0.22952247191011235,4474.0,8.955,7.8479701327885,2.4943203411813273,0.0,0.0
UInt16[0x0a0e],4,1,11,8,600000,100.0,100.0,4521.605,3.6551610925565408,0.4356460674157303,1678.0,7.265000000000001,5.154307920464282,2.404956576695716,0.0,0.0
UInt16[0x0a68],4,1,11,8,600000,100.0,100.0,11458.060000000001,4.059040851247152,0.3273595505617978,2606.0,8.025,6.451476632950701,2.2816214585330634,0.0,0.0
