# date and time: 2022-05-23T10:01:54.776
# host: fluda.cs.umt.edu with 24  processes: 
# 8395.285683 seconds 
# funcs: Func[Func(&, 2, "AND"), Func(|, 2, "OR"), Func(xor, 2, "XOR"), Func(Main.CGP.Nand, 2, "NAND"), Func(Main.CGP.Nor, 2, "NOR")]
# use_lincircuit: true
# maxreps: 200
# iter_maxreps: 100
# numinputs: 4
# numoutputs: 1
# numinstructions: 10
# numregisters: 2
# max_steps: 600000
goal,numinputs,numoutputs,numinstructs,numregisters,maxsteps,ntries,nsuccesses,avg_steps,log_avg_steps,robustness,evo_count,nactive,complexity,degeneracy,sumsteps,sumtries
UInt16[0x001d],4,1,10,2,600000,100.0,100.0,10888.65,4.036395459335306,0.36496666666666666,1135.0,0.0,6.8270203021338105,0.0,0.0,0.0
UInt16[0x015b],4,1,10,2,600000,101.5,100.0,83630.315,4.921755003987848,0.27413333333333334,1770.0,0.0,7.15132131065251,0.0,0.0,0.0
UInt16[0x0338],4,1,10,2,600000,100.5,100.0,57451.64,4.758353126621076,0.3438,1489.0,0.0,7.522205181979291,0.0,0.0,0.0
UInt16[0x0380],4,1,10,2,600000,100.0,100.0,46977.774999999994,4.671837746933209,0.37,1370.0,0.0,7.190650716439212,0.0,0.0,0.0
UInt16[0x0427],4,1,10,2,600000,100.5,100.0,60735.92,4.779265766778343,0.2833,1902.0,0.0,7.515200682456493,0.0,0.0,0.0
UInt16[0x049c],4,1,10,2,600000,100.5,100.0,76784.305,4.881729313570302,0.29103333333333337,1966.0,0.0,7.571818070026692,0.0,0.0,0.0
UInt16[0x0523],4,1,10,2,600000,100.5,100.0,53601.75,4.719159330544531,0.27646666666666664,1891.0,0.0,7.502171994633968,0.0,0.0,0.0
UInt16[0x0548],4,1,10,2,600000,100.0,100.0,39051.600000000006,4.588628287624456,0.3123,1609.0,0.0,7.401843450915829,0.0,0.0,0.0
UInt16[0x057c],4,1,10,2,600000,102.5,100.0,172299.69,5.233812858666221,0.20756666666666668,2435.0,0.0,7.931469025841947,0.0,0.0,0.0
UInt16[0x0585],4,1,10,2,600000,100.5,100.0,53817.24,4.7252478237620394,0.4129666666666667,1265.0,0.0,6.846515531800163,0.0,0.0,0.0
UInt16[0x0684],4,1,10,2,600000,100.5,100.0,82142.775,4.9144138649955975,0.3406666666666667,1385.0,0.0,7.571110445618315,0.0,0.0,0.0
